关键词,博文
防疫,#汕头大学防疫##汕头大学防疫##汕头大学防疫双标##刘浩存支持汕大防疫# 请学校直视问题！！正视学生诉求！ ​                
防疫,"
                    上海这一次的防疫，就是犯了错了，这没什么好争论的。     事实摆在那，错就是错。      什么以最小代价，尽可能减少生活的影响，上海这次都没有达到这个目的。代价也没小，效果也不好。         别的不说，从上海外溢到其他省份的，有多少？这些省又付出了怎样的代价。         上海这一次，无论 ​  展开c"
防疫,#上海消杀#你们负责坚守防疫，我负责你们春花秋月。#辰山植物园#上海疫情#樱花季 2上海·上海辰山植物园 L乐游吃喝玩乐的微博视频 ​                
防疫,"#上海奢侈品店被曝用菜品维护客户#
笑死，评论区和广场有些觉得正常的人有基本的三观吗？
这是酸不酸的问题吗？
这就是基本公德和人性的问题。
就像隔壁邻居在办丧事，虽然与你无关，但你也不能跑去人家门口敲锣打鼓一样。
疫情面前人人平等，所有人共同付出代价防疫抗疫，才能换来一个个区域的正常生 ​ 展开c"
防疫,#南宁百盛 防疫##幻影丶奈# 公主醒了吗？什么时候走司法 程序呢？到时候麻烦公布一下@幻影丶奈 ​                
防疫,"
                    封控管控防疫3区我目前在管控区 刚问了我老公 2上海 ​                "
防疫,"
                    【萌爆了！#小小志愿者奶声奶气喊你做核酸# 】近日，家住赤峰市巴林左旗契丹公馆A区的4岁小萌娃助力防疫，小小志愿者“奶声奶气〞喊居民做核酸，网友纷纷被“萌”到。谢谢你哦，小可爱 2赤峰 L赤峰日报的微博视频 ​                "
防疫,"#同心抗疫##广东疫情#【现在电影】向广东地区用户免费赠送观影券！今日，国务院联防联控机制发布会通报：广东地区疫情已得到初步控制。为支持广东地区防疫工作，丰富用户生活，【现在电影】专门为大家准备了全球佳片尊贵观影礼包，3月31日-4月5日期间，点击评论区传送门，或直接戳图码上领取！

礼包可 ​ 展开c"
防疫,ohmnanon这对小情侣麻烦注意一下防疫要不你俩猜一下隔一个坐是为啥 L懒懒_clever的微博视频 ​                
防疫,胡先煦#胡先煦在干什么# 📣📣📣！！胡虎防疫小贴士来啦！！📣📣📣疫情期间服从管控，注意安全，一定要保护好自己哦 ​                
防疫,#铁路战疫24小时# 防疫“秘籍”十招式，招招打通防疫安全“任督二脉”。疫情防控，从我做起，扎实修炼，共筑防疫屏障，共护安全出行！L广州铁路的微博视频 ​                
防疫,"
                    【辽宁警方严查严惩故意隐瞒行程轨迹行为】记者从省公安厅了解到，本轮疫情发生以来，发现少数货车司机隐瞒行程记录逃避防疫查验，均已依法实施处罚。警方提醒，故意隐瞒行程轨迹的行为，会给疫情防控带来重大风险，公安机关将严厉打击，追究行为人违法甚至犯罪责任。       3月24日，货车司机佟某某 ​  展开c"
防疫,#汕头上榜中国美丽城市典范##汕头大学防疫# 美丽城市里的大学生甚至还没看过这座美丽城市长什么样不过欢迎全国人民来看看双标一流大学是怎样的，汕头大学堪称一刀切封校典范，点进#汕头大学防疫# 开开眼界吧 2汕头 ​                
防疫,"
                    【海口防疫最新通报！“黄码”还能上班吗？开车路过封控、管控区会转码？官方回复#海上夜闻·视听汇# 】○海南油价31日24时起上调○突发！海口3车追尾○海口新增62个转码核酸采样便民服务点○男子初筛阳性仍坐动车？立案侦查！O网页链接 ​                "
防疫,#邵阳学院封校现状# 学生吐槽：邵阳学院学生外卖进不来、快递进不来，校外的小商小贩进校风雨无阻，既然封了学生，为什么不加强对这些校外人员的管理…@邵阳学院 吃糖葫芦吗？不甜不要钱的那种！#疫情下湖南高校的防疫举措# （来源投稿） ​                
防疫,#长春爆料# 视频中反映问题的蔡某某是昌平社区临时聘用在天裕小区大门口卡点的值守人员，并非无偿参与防疫工作的志愿者。每天酬劳200元。这批临聘人员都为附近居民，社区已事先明确告知临聘人员无法提供餐食，并建议招聘人员回家用餐。此后因全民核酸检测工作量大，时间紧张，为保证工作进度，社区曾为 ​  展开c
防疫,"#南乐县清明防疫改编歌曲你莫回#清明将至，人员流动增加，疫情传播风险进一步加大。为严格落实“外防输入、内防反弹”的防控策略，巩固来之不易的疫情防控成果，南乐县广大文艺工作者立足特长，充分发挥自身优势，深入抗疫一线采风，制作出内容生动、形式新颖的清明节抗疫微视频《你莫回》,向社会传递 ​  展开c"
防疫,"
                    【WHUer防疫手势舞接力】“露出微笑，戴上口罩，疫情退让” “抬头仰望，每一束光，燎原四方”我们众志成城，共战疫情期盼山河无恙，阴霾退散（视频：朱泉润 出镜：李汶泽 王亦嘉）#高校春日手势舞##大学生抗疫图鉴# L武汉大学的微博视频 ​                "
防疫,"
                    我不懂传染病防疫，但我1969年就和医院打交道且医生（301、军事医学院）的朋友占了七成却从没听哪个医生朋友对国家传染病专家张文宏医生提出过什么质疑…。#消灭法西斯自由属于人民#//@陆锡鑫:对#新冠病毒# 和#新冠疫情# 的认识，总会有一个逐步深入的过程。关键是不能不清楚瞎指路，当下上海防疫乱象 ​  展开c"
防疫,#汕头大学防疫#汕头大学#汕头大学回应出入校审批流程问题##汕头大学防疫双标# 请@汕头大学 回应下谢谢 2汕头·汕头大学 ​                
防疫,#郑州大学#我们关注的重点是自由吗？不，是科学。如果是科学有效的防疫，很少有人会揪着自由不放。如果是形式而无用的“防疫”，还把学生的自由和尊严给踩在ld的脚下，那才是让人忍无可忍的。 2郑州·郑州大学 ​                
防疫,#郑州1名确诊男子被立案侦查# 很想知道是第几号病例？从哪回来的？然后1号病例入郑遵守郑州防疫规定了吗？郑好办报备没？三天两检没。2号病例是如何感染的？ 大家好奇吗 2郑州 ​                
防疫,"
                    上海发布的新浦东防疫措施，没啥不好理解的，说白了街道区域内大家就是要绑在一根绳上的蚂蚱了。1.封控区。小区有阳的那栋楼十四天封闭管理(3.28算起)，小区内的其他楼栋开始7天足不出户+7社区健康管理(不能出小区那种），其中会有核酸配合 2.管控区以街道为区域，包含的小区中有封控小区就是 ​  展开c"
防疫,"
                    最近蔬菜水果没有缺过各个群里大家互帮互助快递、药品、生活用品、防疫物资…世上好人多在收获了诸多帮助与温暖之后身边的小伙伴和我也迈入了志愿者的行列期待疫情早日散去太想出去呼吸自由的空气了！ ​                "
防疫,#江苏电力快讯#【深夜鏖战，无锡建成首个高速公路临时防疫充电站】“试验合格，准备送电！”经过11个小时的连续奋战，3月31日凌晨四点，国网无锡供电公司各部门共同努力下，建成无锡首座高速公路临时防疫充电站点，在这场疫情防控遭遇战中充分展现了锡电速度，锡电担当！3月30日，无锡疫情防控形势再次 ​  展开c
防疫,"#玄彬孙艺珍婚纱照# 0绯闻的娱乐圈正能量玄彬孙仙今日大婚啦！
疫情期间，婚礼一切从简，不对外公布，所有人的祝福都收到了。

婚礼现场也是戒备森严，低调又要符合防疫要求，毕竟现在是特殊时期，做好防护不出纰漏是最大的祝愿了！

这一对终于结婚了，隔着十万八千里也要送去祝福！太爱你们了！祝你 ​ 展开c"
防疫,"
                    【#抗疫关头少添乱#！#我们的敌人是病毒不是感染者#】近日，一男子乘机赴异地，在当地多有活动，未料当晚被确认为核酸阳性。该消息引发广泛争论，面对“千里投毒”等指责，涉事男子倍感委屈。通过梳理权威信息可以发现，不论是涉事男子，还是当地机场、酒店等单位，都完成了防疫的“规定动作”，“以 ​  展开c"
防疫,#上海疫情#请问上海是不给外地人派送物资吗？坐标浦东张江。我妈说本地人已经收到了好几次物资，外地人都没收到。已经老老实实遵守上海的防疫规则，一定要这么排外吗？万众一心抗疫的时候。 ​                
防疫,#郑州通报1病例被立案侦查#所以去纬二路10号的那个携程张总呢？遵守防疫规定了吗？三天两检了吗？害的郑州全市做核酸，就这样没事了？21世纪版的“刑不上大夫”吗？ ​                
防疫,"
                    【致敬民警！疫情防控一线的蛋糕和鲜花】今年元旦以来，温州乐清交警坚持在7个高速出口和两处国道设置防疫卡口，担负起战疫情、防风险等各项职责和使命，一些民警已连续三个月坚守在疫情防控一线。3月24日以来，乐清交警部门给4位奋战在抗疫一线的同志送去生日蛋糕和鲜花……(浙江之声记者李晓华、通 ​  展开c"
防疫,"
                    任振鹤在定西市调研时强调：巩固疫情防控成果 保持经济向好态势 稳字当头稳中求进推动高质量发展省委副书记、省长任振鹤今天在定西市岷县、漳县调研疫情防控、春耕生产、产业发展等工作。他强调，要深入贯彻落实习近平总书记关于统筹疫情防控和经济社会发展重要论述，清醒认识复杂严峻的防疫形势和艰 ​  展开c"
防疫,#狗子随主人被困高速泡面吃到怀疑狗生#中国人是真的听话守规矩，各种防疫奇葩事都能忍受……并不觉得好笑，只觉得心酸，人都不当人了，何况狗，居然能困在高速上这么久不给下，这要是夏季，不得活活烤死？ ​                
防疫,#上海奢侈品店被曝用菜品维护客户# 嗯……这和有没有钱有很大关系吗？因为疫情买不到菜的难道是因为买不起吗？特殊时期的食物供应难道不是先保证大众的基本需求吗。什么就各凭本事了，那还全民防疫干嘛，就学漂亮国摆烂呗，好的顶顶好，差的等死呗。 ​                
防疫,"
                    【#河北高校学子送来防疫小贴士#】戴好口罩、减少聚集、勤开窗通风、做好手部消毒、就餐隔位就坐、主动接种疫苗……@河北大学 、@燕山大学 、@河北医科大学 、@河北科技大学 、@河北经贸大学 、@河北师范大学 六所高校联动，为您送来防疫小贴士！祝福河北，河北加油！#加油河北# L河北大学的微博视频 ​  展开c"
防疫,#健康人生 绿色无毒# 为进一步加强群众对毒品种类、特征及危害的了解，3月30日，江西省萍乡市莲花县公安局禁毒大队民警发挥党员模范带头作用，联合禁毒专职社工及志愿者在莲花县闪石乡开展以“防疫有我，禁毒同行”为主题的禁毒宣传教育活动。 L中国禁毒在线的微博视频 ​                
防疫,"
                    【#上海市民黄浦江上划船出行#：旱路不行走水路】3月29日，上海。松江泗泾镇某处平静的黄浦江（支流）面上，突然出现了一艘皮划艇缓缓行进。拍摄者称因疫情防控，松江绝大部分小区是封闭的，无意间看到这一幕觉得蛮有意思的就拍了下来。温馨提示：请遵守防疫规定，非必要不外出。@梧桐Video   ​  展开c"
防疫,"
                    【公安提醒：如何区分流调和诈骗电话】近期，全国多地疫情形势严峻，不少电信诈骗分子借此机会，假装防疫部门人员，以流调、查验健康码为由，骗取个人身份证、银行卡等个人信息。来看看他们都有哪些诈骗套路。  L莆田广播电视台的微博视频 ​                "
防疫,"
                    早上又补到了很多菜没有人潮 快速搞定谢谢豫园文化饮食集团给我们小区及时送达了订购食物也谢谢邻居的咕咕鸡 草莓Mercado 505的巴斯克芝士蛋糕谢谢kumo  谢谢我们物业一大早就在小区防疫消杀#上海买菜到底难不难# 不难反正我参与了几次买菜买肉囤货一点没压力家里两个冰箱都塞满了新鲜蔬 ​  展开c"
防疫,"
                    有点点不懂，就是我们为防疫抗疫做了多少斗争和努力，你作为自称防疫模范城市的上海，先是有瞒报让护士冲在最前面且没给什么防护，后有发现有阳性居然能让他成功坐上地铁，你说你是全球经济中心你要运作，全国为你让步，现在大家又携物质来援助，你看看自己乱的！！！#江西满载80余吨抗疫物资驰援上海# ​  展开c"
防疫,#小郝分享台##汕头大学回应出入校审批流程问题#关于汕头大学的回应，你怎么看？汕头大学相关问题移步#汕头大学防疫# ​                
防疫,"
                    如果防疫大礼包里有这玩意就好了"
防疫,"#大文独家# 1.“防疫服务包”将于本周六起向全港市民派发，包内有20个快速测试包。行政长官林郑月娥称会考虑让全港市民用快测包自测。

2.九国“禁飞令”明日将取消。政府估计解禁首日会有2000人抵港，返港人士可在酒店获派“防疫服务包”。

3.英国政府声称香港国安法“侵犯香港人权”，支持从 ​ 展开c"
防疫,"
                    室内乐首秀我保证防疫稳定了立刻调琴！ Lpianist陈琳的微博视频 ​                "
防疫,"
                    公安局区分局、属地派出所、镇防疫、区防疫、市防疫、各种我已经忘了的部门。给我四个手机号轮番电话，截止下午四点半我四个号接了快30个电话，也是辛苦各位工作人员了，给大家添麻烦了。我现在已经熟练地在对方还没有问出来时立刻抢答：我叫xx，28号从上海来，已经被隔离在xx酒店，从26号开始到现在每 ​  展开c"
防疫,"
                    今天终于提前结束了一天的防疫工作，溜到支援社区附近的kfc准备开个荤，支付宝的数字几乎和上个月刚发完工资时没变化真实杜绝个人消费，一心一意坚守岗位了 ​                "
防疫,"gidle组合 我还少说了一句 爱豆的本质是商品
背后决策者是公司 是资本 除非爱豆有个人人品问题 其余一律对着公司骂
我先来：
cube你真是要死啊省那么一点钱不肯搞买包打歌舞台你要把钱带进棺材里吗？？？综艺也撕不到天天是在韩国医院做防疫志愿者这么忙吗？？脑子清醒点对你几个爹好一点， ​ 展开c"
防疫,#广州航海学院清明封校# 一个低风险地区 清明却封校？凭什么校内的老师和领导可以随意进出学校 凭什么老师可以出去外面吃饭聚集 凭什么学生出校不是家人病危就不会给假口口声声说不是feng校 只是严格管理  请假需要各部门审批 什么级长 书记 一层又一层关卡 但是老师却出入如此自由...  在疫情管 ​  展开c
防疫,"
                    【镇海各高速口防疫工作井然有序】#宁波抗疫日记# L宁波发布的微博视频 ​                "
防疫,"
                    【荔城：强化药店防疫监管 发挥“哨点”监测作用】为充分发挥药店在疫情防控重大“哨点”监测作用，连日来，荔城区市场监督管理局开展对零售药店疫情防控专项检查，督促指导药店按照相关防疫要求进一步做好疫情防控工作，落实管控药品的登记与上报。  L莆田广播电视台的微博视频 ​                "
防疫,"
                    【#昆明一小区交房当天即可领房产证# 业主太开心！】3月28日，云南昆明，俊发蓝湖俊园盛大交房，作为2022年昆明首个大规模交付的项目，这一次交房，还有很多惊喜等待业主。认真的防疫工作，五星级的园林景观，一站式、一对一的接房服务，以及额外赠送的超大衣柜，都让业主惊喜不已。最令业主开心的是 ​  展开c"
防疫,#汕头大学防疫##2023考研##汕头大学##汕头大学防疫##汕头大学防疫双标# 是不是我们也需要搞个横幅才能引起外界的注意 ​                
防疫,#上海疫情##上海新增确诊355例无症状5298例# 看视频应该是上海的远郊地区了。这次疫情过后，希望动态清零的防疫经验，大家都能学起来。 2北京 L京吃的微博视频 ​                
防疫,"
                    【#贵州2022高考体育统考疫情防控须知#】贵州省2022年普通高等学校招生体育专业统考即将于4月14日至28日举行，为做好疫情防控，请广大考生仔细阅读防疫须知，严格遵守防疫各项规定。一、考生要认真履行疫情防控第一责任人责任，须严格遵守防疫各项规定，自觉增强防护意识，严格做好个人防护。外出考 ​  展开c"
防疫,#汕头大学防疫#学学人家@汕头大学 还是说985就是985？不是说你没开座谈会的意思是不要威胁dy不要一个个抓喝茶的意思。 ​                
防疫,"
                    【医疗健康专家：“宅”家抗疫你需要注意这三点】目前上海疫情形势严峻，部分区域可能延长封控时间。配合防疫工作，足不出户“宅”在家的小伙伴能做点啥？专家建议这三点，您不妨了解一下。#上海加油# L东方财经浦东的微博视频 ​                "
防疫,"
                    上海市委市政府：防疫准备不充分，接受批评努力改进 ​                "
防疫,"
                    新冠病毒，在它还没有侵袭我们身体的时候，已经开始侵袭我们的内心。围绕着新冠，我们看到了太多的撕裂。有家不能回，有病不能治，原本通畅的道路变成了道道天堑，原本欢迎的笑脸变成严酷的拒绝，一个地方在笑话另外一个地方，因为他们防疫搞的一地鸡毛，一个地方仇视另外一个地方，因为那里的疫情影 ​  展开c"
防疫,#无锡5人核酸阳性2人抗原阳性#现在“外省市”不写明是哪个 我就默认是世界中心了 毕竟你封了世界就不转了苏南城市就因为靠得近活该有难同当吗?外溢的那么严重 管理一团乱的精准防疫无锡今天早上刚做的核酸 晚上又要做了我真是谢谢您嘞 ​​​#上海官方诚恳接受大家批评# ​                
防疫,"#枣庄 防疫#违反疫情防控规定 滕州五人被依法处罚
当前疫情防控形势复杂严峻
在如此关键时刻
有人却对防疫规定置若罔闻
给战“疫”大局添乱
拿群众健康冒险
被公安机关依法处理
►►►
案例1.
3月11日7时许，房某厚乘火车至滕州站下车后，阻碍疫情防控工作人员对其进行留置隔离措施，并私自离开。后被 ​ 展开c"
防疫,"#毛某某隐瞒行程引发扬州疫情被批捕#这个毛老太既丢了南京人的脸，也丢了她的故乡扬州人的脸，更严重地祸害了自己的故乡。说她是自知，更主要还是无知！无知者无畏！她以为自己不承认一切都可以瞒天过海，可是病毒无情啊，几乎整个扬州城都因为她遭了殃！
现在还是时不时的出现防疫过程中存在侥幸心理 ​ 展开c"
防疫,"
                    大家好 我又来了 轻松一下👀我🐷✌️ 耿多汕头大学#汕头大学##刘浩存支持汕大防疫##汕大防疫##汕头大学防疫# ​                "
防疫,"
                    上海疫情发生以来，上海变清零为动态清零，变封城为切块式、网格化管控，将14天封闭期缩短为4天封闭期，这是上海在探索一条防疫抗疫新路子。3月28日凌晨5点浦东新区封闭四天；明天凌晨浦东新区解除管控，浦西将实行4天管控，市政府安排有序，生活有保障，采购了一些肉蛋素菜等，迎接四天的居家封闭管控 ​  展开c"
防疫,"
                    人与人的观念分歧很正常，对一件大事的看法不同也很正常。比如对防疫方法。我认识的一个在美企家在美国的朋友，一个在深圳家在香港的朋友，他们观念就是防疫的代价太大，且这个病毒防不住。差不多和美国与香港主流观念一致。对大陆的动态清零肯定持批评态度。我们中国人对这个防御的政策，绝大部 ​  展开c"
防疫,#齐鲁理工学院分发防疫福袋# 曲阜校区的爱心健康包也已经到位～大家都收到了吗？照片来源：曲阜校区学生会 ​                
防疫,O网页链接 饶毅：中国防疫… ​                
防疫,"
                    但是为什么非要这样子才能获救啊…那么多人连轴转扑在防疫上，大家都很辛苦，还有那么多支援，怎么还是搞成现在这样…到底谁的锅//@养猪致富金师傅:同步一下从医院获得的最新情况：病人今晚安排血透。🙏🙏🙏                "
防疫,"
                    政府表示，防疫服务包的包装工作顺利展开，昨日已完成160万份，全数350万份料可提早完成。多名局长今日到访不同包装中心，参与包装工作，并为参与的公务员和义工打气。O网页链接 ​                "
防疫,#汕头大学防疫#Do you hear the people sing ​                
防疫,#意识形态要闻#15141【应对上海疫情外溢：三亚要求取消往返上海航班   上海至海口美兰机场的进港航班已取消】据央视报道，根据三亚防疫指挥部要求，自3月30日起，上海至三亚凤凰机场的往返航班取消，恢复时间待定。另据海口美兰国际机场消息，30日、31日上海至海口美兰机场的进港航班已取消。 ​  展开c
防疫,"
                    【手绘创意海报】辣子鸡加油、菜煎饼加油……“枣庄美食”抗疫齐出动！羊肉汤提醒您：“没事 别乱圈圈 非必要 不离枣”土豆提醒您：“打嚏fen 要捂牢 遮挡飞沫不传播”“枣庄美食”齐出动，喊您做好防疫咯~ ​​​​（大众网·海报新闻） ​                "
防疫,#丹东快递#一个零新增，零感染的低风险城市，一刀切似的全面禁止快递。本人支持防疫，并一直积极配合防疫政策，全面禁止快递入丹东十多天，已影响到民生。 ​                
防疫,"
                    妈耶！刚刚在办公室猝不及防打开这张差点没当场鸡叫！！！本来最近又加班又封闭防疫的有点心累，瞬间整个人都精神了！！！感谢帅哥天神下凡美貌普度众生@Johnny黄景瑜 ​                "
防疫,#疫情当前警察不退#【白银市公安局白银分局西区派出所民警高维旭：社区防疫勤宣讲】 “疫情防控特殊时期请大家把口罩戴好，不要扎堆聚集……”在甘肃省白银市白银区的一些小区里，人们经常会看到一个拿着大喇叭广播的社区民警，他就是白银市公安局白银分局西区派出所社区民警高维旭。   ​  展开c
防疫,"
                    注意防疫！把拍摄花絮合起来  剪辑粗糙 硬朗结实英雄感十足！这就是我心里的样子东山壮丁马靴#boots##马靴# （老规矩赞破50续更）💙爱你们哦 有没有00后欣赏boots的 可以在评论区留下你的印记 L东山壮丁的微博视频 ​                "
防疫,"
                    不知不觉一年的¼即将过去回顾一下疫情封小区前那些畅快淋漓奔跑在山间肆意挥洒汗水的日子现在想来都弥足珍贵不给国家添乱居家隔离防疫有我💪🏻加油！#mini vlog##抗疫行动##运动就是坚持# 2无锡·运河外滩 LTino小白白的微博视频 ​                "
防疫,"
                    我们学校严格遵守遵守防疫要求 关于""people mountain people sea""太合格了 太符合开学条件了 济南你真的不管吗 送死大队？#济南疫情##莱芜开学# @济南12345 ​                "
防疫,"
                    “让我们跑几趟我们就跑几趟”“第一时间能把最优质新鲜的蔬菜送到群众手中”“今天我们给12个区调拨了785吨应急蔬菜”为全力做好核酸筛查期间的市民生活保障服务，上海已启动蔬菜应急保供工作方案。顺丰@顺丰集团 作为运菜的“轻骑兵”，担起了特殊时期蔬菜供应保障的任务。一辆辆黑色的厢式货车 ​  展开c"
防疫,#无锡5人核酸阳性2人抗原阳性#有一说一，无锡的反应超级快，各种防疫措施，管控立马执行。如果上海一开始也这么重视，疫情可以很快的控制住 ​                
防疫,#上海官方诚恳接受大家批评# “一个一个自吹自擂是老防疫，当年在非典如何如何，当年在德尔塔如何如何，这就是，这就是你们的工作成绩！”“战场上打了败仗要撤职杀头，现在你们这条战线上出了问题，你们自己说该怎么办？说呀！” ​                
防疫,"
                    【♥聊天】这就对了，这才像个政府说的话。我要求你配合，不用你理解──你还是用了理解──你把你交给我，我一定会把你的事情办好。你是我的主心骨，你让我理解你，我就没信心了。老百姓通情达理，知道你的难处。你让我理解你，我好几天不能出门，我怎么理解你？你把防疫管好了，我一辈子呆在家里，我 ​  展开c"
防疫,"
                    【#信阳多县区单位防疫施落实不到位被通报# 】3月30日，市疫情防控督查组围绕“春茶采摘季疫情防控、清明节疫情防控、隔离点建设情况、重点人员核酸检测”等，聚焦“从上海和吉林返信人员集中隔离落实情况”，对相关县区和单位的常态化疫情防控和隔离点建设情况进行了监督检查，共抽查检查单位（场所） ​  展开c"
防疫,#上海买菜到底难不难#我说一句，上海这次防疫过于垃圾。不反对吧？ ​                
防疫,"
                    上海一小区租户冒充防疫总指挥十几天，小区几十个志愿者听他指挥，还帮他搬菜…… ​                "
防疫,#官方回应上海哮喘老人救助无效去世# 为什么要网暴这个医生啊，难道不应该是管理层的疏忽吗？这已经是上海因为防疫耽误救援的第几起事件了，开除了医生，谁来治病救人！！！ ​                
防疫,#上海疫情#第二轮核酸了，要求让才一岁的宝宝下来做核酸，这么小的孩子还不能戴口罩，带出来直接暴露在风险下面。这就是所谓的精准防疫？为了所谓的清零，不考虑实际情况？本来孩子没有任何风险，现在出了问题谁负责？@上海发布 2上海·创新佳苑 ​                
防疫,#初筛阳性仍乘坐动车至莆田车站#上海以及这位患者真的对不起全国辛苦在防疫一线的人，还有福州做了好几轮的全市核酸钱也花了很多，有的还是医生通宵连夜做，现在估计又要来几轮了。 ​                
防疫,"
                    洋泾街道泾东小区不作为1.小区陆续有人确诊，确诊患者一直没有集中隔离，楼道及小区也没有进行消杀；2.集体核酸期间，小区通知不及时不到位，导致很多居民都不知道要做核酸。做核酸期间也没有做信息登记，应检未检人员也没有排查，现场排队混乱没有秩序。3.小区自24日小区临时封闭后，居委未对居民 ​  展开c"
防疫,"
                    今天看书，看看民国史。发现民国时期国民党一开始亲苏，就连黄埔军校都是苏联给钱、苏联派出军事培训教官搞的。后来，秃头嫁给了假美国人宋美龄后，攀附上了美帝。国民党摇身一变，成了一帮亲美派。亲美亲到唯美是瞻。最后失败是必然。跟某地的疫情一样的感觉，明明上面制定了针对本土的防疫 ​  展开c"
防疫,"
                    自从被浪定向制裁之后，我想明白了，我有什么好嚎的，wfh又不影响我收入，水电不停的情况下我是体制外最后一批被饿死的人，支持！大局！道路自主! 优越性！我只有两个小小的疑问想问防疫爱好者:1，支持封城控疫，以后一有确诊就封城，一切生活为此停摆，一切医疗资源为这个病让道，你在等的转折点 ​  展开c"
防疫,"
                    防疫居家夜谈会，8点半直播，等下没事就来聊聊天好了~ ​                "
防疫,"
                    正能量！手动赞！小朋友才是香港的未来！香港政府周六起将向全港住户派发350万个防疫包，其中在将军澳宝林体育馆，今早（31日）有多名义工负责包装抗疫包。其中，有一位陈姓母亲带同两名女儿一同做义工，她坦言早前因有家人在方舱医院工作，及后感染其同住长者，当时任何药物都无法纾缓病情， ​  展开c"
防疫,#江苏电力快讯# 【志愿服务 筑牢疫情防控墙】3月31日，国网昆山市供电公司员工范强、黄小华、徐庆华、吴张逸前往陆家社区开展志愿服务，协助社区人员开展两码检查、维持秩序、凭证发放等工作，为居民筑牢防疫墙。@国网江苏电力 @国网昆山市供电公司 ​                
防疫,"
                    据说现在防疫大礼包是拿到蔬菜的，那就应该问题不大，如果是肉类的，可能时间会长一些，如果给你发大米了···那基本就芭比Q了··· ​                "
防疫,#官方回应上海哮喘老人救助无效去世#现在只有新冠是病，其他病都不是病，得急性病就没药医，没得治，一切为新冠让路，本末倒置，防疫方法有问题。出事了就发个声明就了事，真是光天化日，草菅人命， ​                
防疫,#双统筹双胜利#【#深圳吉华医院项目获得多项惠企政策补贴#】近日，深圳市发布惠企纾困的30条措施，深圳吉华医院项目获得防疫支出补贴、水电减免等多项优惠。在保证疫情防控工作的前提下，项目施工工作已稳步有序开展。  L深圳报业视听中心的微博视频 ​                
防疫,#汕头大学防疫# 要先学会自救再学做人的操守每天顶话题！ ​                
防疫,#上海买菜到底难不难##张文宏解答上海疫情拐点何时来#2300的瑞辉药能进医保，这药要真这么神奇美丽国能死那么多的人？敢情上海防疫一坨屎是因为忙着买办变现？ ​                
防疫,#双统筹双胜利#【#深圳人才安居项目建设稳中有进#】作为深圳大型安居人才建设项目，深圳安居鸣鹿苑项目坚决保证防疫要求，加快生产。企业通过减免社保费用，申请财政专项资金等，稳健运转，让建设提速。  L深圳报业视听中心的微博视频 ​                
防疫,#打击通信信息诈骗# 【筑牢全民防线 邵阳联通开展抗疫、反电诈宣传活动】3月28-30日，邵阳联通邵阳县党支部组织党员志愿者到各村（社区）持续推进“敲门行动”。在认真开展疫情防控工作的同时，呼吁群众做到“防疫、反电诈”两不误。活动中，党员志愿者一家一家敲门，给群众发放《关于做好清明节期间疫 ​  展开c
防疫,"#沈阳疫情##同心抗疫##愿你遇到的人都是温暖的# 【防疫人员的帐篷破了，结果……】日前，一张沈河区嘉鑫园小区业主发布在社区疫情防控工作群里的“大白”在风雨中坚守岗位的照片，引发了一幕群内群外关爱“大白”女孩，帮其修复岗点帐篷的感人场景。

3月29日16时许，窗外雨急风冷，街路静寂，沈 ​ 展开c"
防疫,#狗子随主人被困高速泡面吃到怀疑狗生#这个防疫zc我直接就日nm了。前期半夜做核酸，弄得普遍反应睡不好，半夜三更七老八十的连着好几天起夜，这tm折腾生病了，出门还得层层报备，领导一拍驴蛋，下边活受罪。。。 ​                
防疫,"
                    咱就是说想家了#宁夏防疫面子工程# 市区居民没封啊，中小学还在活动啊，该旅游旅游该上坟上坟，为啥咱得被关着？网课他娘的是学生教室聚集，老师隔着屏幕。老师回来了之后，老师随意进出，学生无所谓。带的衣服全是棉衣这都什么天了都，停不停快递的暂且不说，没停的，我家是真 ​  展开c"
防疫,#汕头大学防疫##汕头大学防疫双标# 你清高，你了不起，你封校只封本科生而教职工天南海北任你闯#教育部反对高校一刀切封闭管理# 你想一刀切那麻烦你首先把教职工、附中附小幼儿园的学生和家长、食堂工作人员以及地痞一样只会威胁恐吓别人的保安给我切死谢谢既然合理意见你视而不见你装 ​  展开c
防疫,"
                    致所有关注 「划水冠军」双城演出的朋友们：        鉴于近日国内多地爆发疫情，疫情防控压力大，根据场地所属地区最新疫情防控要求，为积极配合做好防疫工作，也为了观众与演职人员的安全健康考虑。我们不得不遗憾地通知大家：         原定于：                   4月8日 重庆·VOX LIVEHOUSE   ​  展开c"
防疫,"
                    微博#抗疫求助# 通道日报：截止3月31日19:00，微博共梳理筛选吉林、上海求助信息694条，共向当地救援力量报送691条有效求助信息。截止3月31日19:00，@微公益 共上线11个吉林防疫抗疫项目，2个上海防疫抗疫项目，6个全国范围防疫抗疫项目。总计筹款：2907621.52元，捐赠人次：150973人次。善款主要 ​  展开c"
防疫,"#上海官方诚恳接受大家批评#这才是正确的态度，网友们出发点都是善意的，都希望全国各省份全部动态清零！
上海市是著名的大城市，包容性极强。应该接受网友们善意的批评。
想一想之前上海发现疫情后，各种措施宣传，以及某网红医生总是出来指手画脚，一定程度上误导了防疫，放松了对疫情严重程度的警惕 ​ 展开c"
